Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),ZONE ONE PEOPLE:People Total Heating Rate [W](Hourly),SPACE1-1 LIGHTS 1:Lights Total Heating Rate [W](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE ONE:Zone Air Relative Humidity [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PPD [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Ankle Draft PPD [](Hourly),ZONE ONE:Zone Heat Index [C](Hourly),ZONE ONE:Zone Humidity Index [](Hourly) 
 07/01  09:00:00,15.5,0.00982661219394861,81.375,92148.0,1425.0466307857912,1425.6000000000001,25.90129553537691,0.02189237914056092,93.71965774384269,0.5001609464786237,10.51214608788704,28.209802154744082,0.59814453125,0.4032880746227864,8.643194831132273,11.234713125773126,26.99408605351771,38.032657501350734 
 07/01  10:00:00,16.675,0.010306914441773512,79.125,92148.0,1425.0466307857912,1504.8,26.94983380098839,0.022836763121835642,91.74758542613144,0.8030802366432956,18.68749061891125,29.563725569554542,0.58746337890625,0.6941994102081716,15.218315592056577,8.222698983550396,31.264122658190246,39.83403323232437 
 07/01  11:00:00,18.7625,0.011043609733053449,74.25,92148.0,1425.0466307857912,1584.0,27.544896530878304,0.023848800829771546,92.38457928385165,1.0200689342032123,27.02850212544764,30.676803707983634,0.57830810546875,0.9058136353771028,22.38624574837084,6.575264536283279,33.134080142868235,41.2346865724938 
 07/01  12:00:00,20.7,0.010805145827821298,64.5,92148.0,1425.0466307857912,1504.8,28.001498040900486,0.024910404435029575,93.80542980823745,1.1922829197951756,34.8987958193085,31.67397756496545,0.56304931640625,1.0763535616691051,29.475137231139403,5.49187647355828,34.89198997812116,42.534991328510856 
 07/01  13:00:00,21.8625,0.010231039348874878,56.875,92148.0,750.0245425188375,1267.2,28.14822412281751,0.02574857578557315,96.01751992330843,1.2817318316962014,39.33659065362566,32.34769643396406,0.54931640625,1.1690621896019013,33.755988743554184,5.002951088522184,35.91549507406795,43.346903107331315 
 07/01  14:00:00,22.7,0.01017581959142127,53.75,92148.0,1425.0466307857912,1425.6000000000001,28.521348687707683,0.026594289303949806,96.91129034165134,1.4216233447719135,46.68149121296985,33.202133137248516,0.53253173828125,1.308762436037121,40.74340183826107,4.319339149264379,37.47585103287766,44.39021217900213 
 07/01  15:00:00,23.437500000000004,0.009866191003938218,49.875,92148.0,1425.0466307857912,1584.0,28.848160386700112,0.027729504261173557,98.98163098363165,1.5386824582048502,53.00530978677235,34.14588268213373,0.5035400390625,1.4297298223456678,47.105596093062275,3.807432054954594,39.291593590961206,45.615241385696436 
 07/01  16:00:00,23.7625,0.009682832608936157,48.0,92148.0,1425.0466307857912,1584.0,28.917724375007595,0.028145071572000687,100.0,1.5647621323079548,54.42593614914335,34.45063374624248,0.4913330078125,1.458521653065986,48.65307553970473,3.7013780381059123,39.86961172744991,46.013254284522375 
 07/01  17:00:00,23.675000000000004,0.009758393971907394,48.625,92148.0,1425.0466307857912,1584.0,28.827528298360463,0.02799197191583857,100.0,1.5272367916022493,52.38183397732117,34.243297917981025,0.494384765625,1.4209146913501238,46.63095147466747,3.8520558149051602,39.51391092286825,45.802098936315296 
 07/01  18:00:00,22.975,0.00978645893305158,50.875,92148.0,1050.0343595263726,1584.0,28.567081963215525,0.027554242339700413,100.0,1.4428342500035374,47.8108216676647,33.742813683699794,0.50506591796875,1.3369672365306733,42.191671731152915,4.218054850628056,38.502863326947214,45.19564483159145 
